no;lat;lon;name;ele
657;61.01759;10.45759;657;0
658;61.01759;10.45759;658;0
659;61.01702;10.45896;659;0
660;61.01681;10.45931;660;0
661;61.01668;10.45944;661;0
662;61.01638;10.45961;662;0
663;61.01637;10.45962;663;0
664;61.01637;10.45961;664;0
665;61.01614;10.45974;665;0
666;61.01595;10.45993;666;0
667;61.01578;10.46015;667;0
668;61.01564;10.46038;668;0
669;61.01544;10.4608;669;0
670;61.01544;10.4608;670;0
671;61.01531;10.46108;671;0
672;61.01523;10.46129;672;0
673;61.01498;10.46175;673;0
674;61.01483;10.46201;674;0
675;61.01468;10.46222;675;0
676;61.01468;10.46222;676;0
677;61.0146;10.46232;677;0
678;61.01438;10.46256;678;0
679;61.01408;10.46291;679;0
680;61.01398;10.46306;680;0
681;61.01388;10.46324;681;0
682;61.01388;10.46324;682;0
683;61.01359;10.46379;683;0
684;61.01341;10.46429;684;0
685;61.0132;10.465;685;0
686;61.01302;10.46562;686;0
687;61.01283;10.46616;687;0
688;61.01249;10.46702;688;0
689;61.01226;10.46755;689;0
690;61.01226;10.46755;690;0
691;61.01124;10.46963;691;0
692;61.01092;10.47028;692;0
693;61.01036;10.47145;693;0
694;61.01027;10.47164;694;0
695;61.01027;10.47164;695;0
696;61.00958;10.47319;696;0
697;61.00934;10.47364;697;0
698;61.00854;10.47508;698;0
699;61.00808;10.47582;699;0
700;61.0076;10.47651;700;0
701;61.00748;10.4767;701;0
702;61.00748;10.4767;702;0
703;61.00722;10.47719;703;0
704;61.00713;10.47739;704;0
705;61.00683;10.47824;705;0
706;61.00653;10.47946;706;0
707;61.00638;10.47995;707;0
708;61.00629;10.48017;708;0
709;61.00607;10.48059;709;0
710;61.00586;10.48086;710;0
711;61.00542;10.48143;711;0
712;61.0049;10.48209;712;0
713;61.00428;10.48291;713;0
714;61.00428;10.4829;714;0
715;61.00366;10.48373;715;0
716;61.00343;10.48398;716;0
717;61.00316;10.48425;717;0
718;61.00285;10.48446;718;0
719;61.00247;10.48468;719;0
720;61.00225;10.48479;720;0
721;61.00208;10.48487;721;0
722;61.00165;10.48515;722;0
723;61.0015;10.48527;723;0
724;61.00132;10.48546;724;0
725;61.00109;10.48571;725;0
726;61.00093;10.48601;726;0
727;61.00068;10.48665;727;0
728;61.00054;10.48714;728;0
729;61.00043;10.48758;729;0
730;61.00043;10.48758;730;0
731;61.00016;10.48871;731;0
732;61.00001;10.48946;732;0
733;60.99993;10.48984;733;0
734;60.99982;10.49025;734;0
735;60.99939;10.49152;735;0
736;60.99915;10.49222;736;0
737;60.99899;10.49282;737;0
738;60.99877;10.49367;738;0
739;60.99865;10.49406;739;0
740;60.99852;10.49444;740;0
741;60.99836;10.49475;741;0
742;60.99836;10.49476;742;0
743;60.99817;10.49506;743;0
744;60.99779;10.49558;744;0
745;60.99742;10.49611;745;0
746;60.99709;10.49676;746;0
747;60.99677;10.49741;747;0
748;60.99653;10.4979;748;0
749;60.99626;10.49858;749;0
750;60.99609;10.49905;750;0
751;60.99587;10.49969;751;0
752;60.99566;10.50041;752;0
753;60.99549;10.50113;753;0
754;60.99533;10.50187;754;0
755;60.99495;10.50367;755;0
756;60.99477;10.50446;756;0
757;60.99468;10.50491;757;0
758;60.99468;10.50491;758;0
759;60.99456;10.50538;759;0
760;60.9944;10.50597;760;0
761;60.99395;10.50734;761;0
762;60.9935;10.50864;762;0
763;60.993;10.51008;763;0
764;60.99276;10.5107;764;0
765;60.99234;10.51166;765;0
766;60.99164;10.51325;766;0
767;60.9913;10.51405;767;0
768;60.99109;10.51457;768;0
769;60.99093;10.51506;769;0
770;60.99067;10.51597;770;0
771;60.99052;10.51659;771;0
772;60.9904;10.51718;772;0
773;60.9903;10.51758;773;0
774;60.99022;10.51794;774;0
775;60.99014;10.5184;775;0
776;60.99002;10.51927;776;0
777;60.98992;10.52031;777;0
778;60.98971;10.52211;778;0
779;60.98952;10.52371;779;0
780;60.98952;10.52371;780;0
781;60.98934;10.52535;781;0
782;60.98924;10.52664;782;0
783;60.98919;10.52759;783;0
784;60.98918;10.52814;784;0
785;60.98918;10.52862;785;0
786;60.98921;10.52905;786;0
787;60.98927;10.52995;787;0
788;60.98925;10.53049;788;0
789;60.98917;10.53128;789;0
790;60.98904;10.53202;790;0
791;60.98887;10.53298;791;0
792;60.98877;10.53343;792;0
793;60.98861;10.53418;793;0
794;60.98836;10.53524;794;0
795;60.9881;10.53652;795;0
796;60.98795;10.53729;796;0
797;60.98784;10.53799;797;0
798;60.98745;10.54032;798;0
799;60.98716;10.54203;799;0
800;60.98707;10.54255;800;0
801;60.98696;10.54324;801;0
802;60.98677;10.54451;802;0
803;60.98677;10.54456;803;0
804;60.98677;10.54456;804;0
805;60.9867;10.54531;805;0
806;60.98668;10.54664;806;0
807;60.98675;10.54738;807;0
808;60.98683;10.54789;808;0
809;60.98687;10.54829;809;0
810;60.98689;10.54872;810;0
811;60.98688;10.54925;811;0
812;60.98682;10.55008;812;0
813;60.98676;10.55055;813;0
814;60.98671;10.55098;814;0
815;60.9865;10.55191;815;0
816;60.98619;10.55335;816;0
817;60.98593;10.55471;817;0
818;60.9857;10.55598;818;0
